module,section,field,componentType,valveType,yardTag,technicalName,friendlyName
dhw,controllerState,dhwPumpFlowController,pidController,,,dhw-pump-flow-controller,PumpFlowController
dhw,controllerState,dhwPumpTemperatureController,pidController,,,dhw-pump-temperature-controller,PumpTemperatureController
dhw,controllerState,dhwDrivesFlowController,pidController,,,dhw-drives-flow-controller,DrivesFlowController
dhw,controllerState,dhwDcFlowController,pidController,,,dhw-dc-flow-controller,DcFlowController
drives,sensorValues,drivesPump1,sensor:pump,,50001028,drives-pump1,Pump1
drives,sensorValues,drivesPump2,sensor:pump,,50001029,drives-pump2,Pump2
drives,sensorValues,drivesTemperatureShorepowerReturn,sensor:temperature,,50001038-11,drives-temperature-shorepower-return,TemperatureShorepowerReturn
drives,sensorValues,drivesTemperatureSupply,sensor:temperature,,50001038-14,drives-temperature-supply,TemperatureSupply
drives,sensorValues,drivesTemperatureRecovery,sensor:temperature,,50001038-16,drives-temperature-recovery,TemperatureRecovery
drives,sensorValues,drivesTemperatureRecoveryMix,sensor:temperature,,50001038-57,drives-temperature-recovery-mix,TemperatureRecoveryMix
drives,sensorValues,drivesTemperatureRecoveryReturn,sensor:temperature,,50001038-59,drives-temperature-recovery-return,TemperatureRecoveryReturn
drives,sensorValues,drivesTemperaturePropdriveAft1Return,sensor:temperature,,50001038-32,drives-temperature-propdrive-aft1-return,TemperaturePropdriveAft1Return
drives,sensorValues,drivesTemperaturePropdriveFwd1Return,sensor:temperature,,50001038-61,drives-temperature-propdrive-fwd1-return,TemperaturePropdriveFwd1Return
drives,sensorValues,drivesTemperaturePropdrivesFwdSupply,sensor:temperature,,50001038-62,drives-temperature-propdrives-fwd-supply,TemperaturePropdrivesFwdSupply
drives,sensorValues,drivesTemperaturePropdrivesAftSupply,sensor:temperature,,50001038-63,drives-temperature-propdrives-aft-supply,TemperaturePropdrivesAftSupply
drives,sensorValues,drivesTemperaturePropdriveAft2Return,sensor:temperature,,50001038-64,drives-temperature-propdrive-aft2-return,TemperaturePropdriveAft2Return
drives,sensorValues,drivesTemperaturePropdriveFwd2Return,sensor:temperature,,50001038-72,drives-temperature-propdrive-fwd2-return,TemperaturePropdriveFwd2Return
drives,sensorValues,drivesMixExchanger,sensor:valve,mix,50001046-01,drives-mix-exchanger,MixExchanger
drives,sensorValues,drivesMixRecovery,sensor:valve,mix,50001046-03,drives-mix-recovery,MixRecovery
drives,sensorValues,drivesFlowShorepower,sensor:flow,,50001057-10,drives-flow-shorepower,FlowShorepower
drives,sensorValues,drivesFlowPropdriveAft1,sensor:flow,,50001057-13,drives-flow-propdrive-aft1,FlowPropdriveAft1
drives,sensorValues,drivesFlowPropdriveFwd2,sensor:flow,,50001057-14,drives-flow-propdrive-fwd2,FlowPropdriveFwd2
drives,sensorValues,drivesFlowPropdriveFwd1,sensor:flow,,50001057-15,drives-flow-propdrive-fwd1,FlowPropdriveFwd1
drives,sensorValues,drivesFlowPropdriveAft2,sensor:flow,,50001057-16,drives-flow-propdrive-aft2,FlowPropdriveAft2
drives,sensorValues,drivesFlowRecovery,sensor:flow,,50001058-03,drives-flow-recovery,FlowRecovery
drives,sensorValues,drivesFlowcontrolPropdriveAft,sensor:valve,flowcontrol,50001065-02,drives-flowcontrol-propdrive-aft,FlowcontrolPropdriveAft
drives,sensorValues,drivesFlowcontrolPropdriveFwd,sensor:valve,flowcontrol,50001065-03,drives-flowcontrol-propdrive-fwd,FlowcontrolPropdriveFwd
